"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.847770690918","43.5140266418457","43.0708198547363","42.5331153869629","41.9348068237305","41.2883529663086","40.6137390136719","39.9042205810547","39.1333389282227","38.2773666381836","37.3165168762207","36.251220703125","35.1066856384277","33.9215469360352","32.7335815429688","31.5769519805908","30.4461212158203","29.3459892272949","28.2950115203857","27.3416919708252","26.5159072875977","25.8424549102783","25.3178787231445","24.9373035430908","24.685266494751","24.5287799835205","24.4764060974121","24.5136241912842","24.5853595733643","24.6182327270508","24.5494632720947","24.359748840332","24.087345123291","23.7965183258057","23.5658416748047","23.4220542907715","23.3703956604004","23.3770637512207","23.3890190124512","23.3371524810791","23.179027557373","22.8959884643555","22.5180263519287","22.1089515686035","21.7445468902588","21.4733428955078","21.3121089935303","21.2311916351318","21.1734294891357","21.0495185852051","20.8096694946289","20.434211730957","19.947452545166","19.3847110610139","18.8280109444944",
"Andorra","AND","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.7122840881348","43.783935546875","43.8382873535156","43.8965682983398","43.9858322143555","44.1222686767578","44.3092155456543","44.5349998474121","44.7815208435059","45.0246810913086","45.2474250793457","45.4464645385742","45.6262893676758","45.7883224487305","45.9364891052246","46.0748863220215","46.2018585205078","46.318920135498","46.4379119873047","46.5750198364258","46.7429084777832","46.952766418457","47.2053642272949","47.488655090332","47.7761421203613","48.0401496887207","48.2749977111816","48.4802703857422","48.6297569274902","48.6923904418945","48.658821105957","48.5212287902832","48.3256645202637","48.1594505310059","48.0961456298828","48.160587310791","48.3543930053711","48.6444396972656","48.9751014709473","49.267505645752","49.4642791748047","49.5419120788574","49.5231285095215","49.4480972290039","49.3682060241699","49.3094902038574","49.2795448303223","49.2496757507324","49.1667556762695","48.9645004272461","48.602897644043","48.0777740478516","47.4154357910156","46.6237103734479","45.7941137675533",
"Angola","AGO","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.7592887878418","44.1122131347656","44.4819068908691","44.8439903259277","45.1682472229004","45.4355392456055","45.6413688659668","45.7942276000977","45.904727935791","45.9880485534668","46.0556831359863","46.1101722717285","46.1512565612793","46.1840705871582","46.2138404846191","46.244758605957","46.279125213623","46.318431854248","46.3642959594727","46.4178428649902","46.4794616699219","46.5473747253418","46.6208610534668","46.7021255493164","46.7942352294922","46.8984107971191","47.0163764953613","47.1442260742188","47.2711486816406","47.3828659057617","47.4697494506836","47.5298004150391","47.5675354003906","47.5883636474609","47.5997123718262","47.6071510314941","47.6108741760254","47.6109008789063","47.6117057800293","47.618293762207","47.6334037780762","47.6546974182129","47.679386138916","47.7079963684082","47.7412109375","47.7774314880371","47.8161506652832","47.8513603210449","47.8704109191895","47.8585968017578","47.8066139221191","47.7131690979004","47.5817985534668","47.500849726369","47.2609597004797",
"Albania","ALB","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","41.7572822570801","42.1591796875","42.527286529541","42.8323707580566","43.0422248840332","43.1380844116211","43.1180839538574","42.9947814941406","42.7842712402344","42.5081977844238","42.1840744018555","41.8150939941406","41.4059753417969","40.9751472473145","40.5433311462402","40.123966217041","39.7233428955078","39.3380317687988","38.9596214294434","38.576042175293","38.1796913146973","37.7746925354004","37.3657684326172","36.9496002197266","36.5237693786621","36.0900688171387","35.6472434997559","35.2034683227539","34.7768592834473","34.3841285705566","34.0296249389648","33.7069053649902","33.4014930725098","33.0996284484863","32.7874908447266","32.4558982849121","32.1095237731934","31.7474136352539","31.3496246337891","30.8878307342529","30.3409614562988","29.6951332092285","28.958179473877","28.1573505401611","27.3355770111084","26.5279579162598","25.7543067932129","25.0120811462402","24.2896175384521","23.5654201507568","22.828010559082","22.0759620666504","21.3295478820801","20.6291552155489","20.0037483365579",
"Arab World","ARB","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.1372952371961","43.4744540442163","43.7951696127547","44.0847207394606","44.326295731073","44.5100669936334","44.6339534687805","44.7048649635455","44.7336816652848","44.7345908958598","44.7179415612011","44.6856383502093","44.637638325965","44.5787504091022","44.5139712865221","44.4466522443841","44.3792820611057","44.311215462536","44.2387556031045","44.1566865475668","44.0617059943156","43.9489104355189","43.8198002012382","43.6836435507559","43.5527430274212","43.4299491470305","43.3197521345715","43.2124703760343","43.0832192411451","42.9031806989779","42.6992369293499","42.3814665048336","42.0766043318882","41.6531686777719","41.198079014402","40.6403651577822","40.153915088292","39.6522329624573","39.1355376139161","38.6072910014304","38.0720519548168","37.535867785952","37.0041548567188","36.4788088875311","35.9601981270113","35.4510450391048","34.9502500583533","34.464907035227","34.0137643538989","33.6178548253429","33.2885338249195","33.0283354098573","32.8260377733434","32.6738833672847","32.5054370620796",
"United Arab Emirates","ARE","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.1735992431641","42.2227210998535","40.9436073303223","39.7025680541992","38.766918182373","38.1738548278809","37.941234588623","37.8603019714355","37.5167350769043","36.5247039794922","34.9023246765137","33.0096855163574","31.2186183929443","29.7303447723389","28.6500110626221","27.9707622528076","27.5504055023193","27.3161087036133","27.3063907623291","27.5587615966797","28.0630645751953","28.8027439117432","29.6992034912109","30.6165981292725","31.3806457519531","31.8738327026367","32.1029624938965","32.1183433532715","31.9185047149658","31.5096206665039","30.914342880249","30.1079349517822","29.1403732299805","28.1681613922119","27.3639106750488","26.8087902069092","26.4716835021973","26.2531185150146","26.0632476806641","25.7966423034668","25.368595123291","24.8861789703369","24.3256988525391","23.41090965271","21.9291343688965","20.0385990142822","18.00754737854","16.2069644927979","14.8914594650269","14.1317691802979","13.8594188690186","13.9894962310791","14.4118328094482","15.2935616446124","15.7355300189802",
"Argentina","ARG","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","30.7632884979248","30.6927433013916","30.5987377166748","30.4820880889893","30.3440971374512","30.1876564025879","30.0159473419189","29.8351459503174","29.6552295684814","29.4883117675781","29.3450107574463","29.2225780487061","29.1243305206299","29.0718479156494","29.0908317565918","29.1944751739502","29.3885917663574","29.6560955047607","29.9592399597168","30.2487182617188","30.4895877838135","30.6689853668213","30.7940521240234","30.8747005462646","30.927864074707","30.9639930725098","30.988073348999","30.9917736053467","30.9574604034424","30.8621997833252","30.6933040618896","30.4443378448486","30.1289558410645","29.7785892486572","29.4344539642334","29.1243362426758","28.8588123321533","28.627571105957","28.4116916656494","28.1835842132568","27.9246997833252","27.6319065093994","27.314489364624","26.9817428588867","26.6473236083984","26.3216991424561","26.0070323944092","25.7021980285645","25.4103527069092","25.1344051361084","24.8763313293457","24.6366271972656","24.4150524139404","24.2339535406898","24.0300719144801",
"Armenia","ARM","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","38.4340019226074","39.507942199707","40.4116020202637","41.1011848449707","41.5372200012207","41.7023124694824","41.596492767334","41.2450523376465","40.6901245117188","39.9858741760254","39.1772880554199","38.2863082885742","37.3284072875977","36.3327827453613","35.328311920166","34.3407020568848","33.3717803955078","32.4389801025391","31.5956401824951","30.9055080413818","30.4066982269287","30.1116542816162","29.9937019348145","30.0030689239502","30.0721378326416","30.1501846313477","30.2211303710938","30.2868576049805","30.3376579284668","30.3678245544434","30.3707656860352","30.3436698913574","30.2736015319824","30.1308174133301","29.8779335021973","29.4892330169678","28.9560642242432","28.2929725646973","27.5303745269775","26.7085018157959","25.8605213165283","24.9928436279297","24.1183948516846","23.2805519104004","22.5301189422607","21.9026927947998","21.4165191650391","21.0637741088867","20.8202686309814","20.6475467681885","20.5149593353271","20.413646697998","20.3449821472168","20.2488034869712","20.2253023636138",
"American Samoa","ASM","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
